x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-0.60546875,-0.257896543481926,-0.25789695701255,-0.257896543482194,2.68063349295744e-13,-4.1353035556968e-07,4.13530623633029e-07
-0.6015625,-0.259996545768586,-0.259996963464397,-0.259996545768858,2.71505040672082e-13,-4.17695538768026e-07,4.17695810273067e-07
-0.59765625,-0.262085922334738,-0.26208634418827,-0.262085922335013,2.75224287804576e-13,-4.21853256715732e-07,4.2185353194002e-07
-0.59375,-0.26416462328823,-0.26416504929173,-0.264164623288509,2.78888023785839e-13,-4.26003220532767e-07,4.26003499420791e-07
-0.58984375,-0.266232598829964,-0.266233028975386,-0.266232598830246,2.82274204010946e-13,-4.30145140228877e-07,4.30145422503081e-07
-0.5859375,-0.268289799257373,-0.268290233536384,-0.268289799257659,2.86048962294672e-13,-4.34278724537052e-07,4.34279010586014e-07
-0.58203125,-0.270336174967915,-0.270336613371887,-0.270336174968204,2.89712698275935e-13,-4.38403682745392e-07,4.3840397245809e-07
-0.578125,-0.272371676462559,-0.272372118982575,-0.272371676462853,2.93376434257198e-13,-4.42519722865242e-07,4.42520016241676e-07
-0.57421875,-0.274396254349296,-0.274396700976146,-0.274396254349593,2.97040170238461e-13,-4.46626552685903e-07,4.46626849726073e-07
-0.5703125,-0.276409859346639,-0.276410310070819,-0.27640985934694,3.00648395068492e-13,-4.5072387938605e-07,4.50724180034445e-07
-0.56640625,-0.278412442287141,-0.278412897098855,-0.278412442287445,3.04312131049755e-13,-4.54811409700273e-07,4.54811714012404e-07
-0.5625,-0.28040395412091,-0.280404413010068,-0.280403954121218,3.08086889333481e-13,-4.58888850030092e-07,4.58889158116982e-07
-0.55859375,-0.282384345919135,-0.282384808875353,-0.282384345919446,3.11750625314744e-13,-4.62955906443963e-07,4.62956218194588e-07
-0.5546875,-0.284353568877613,-0.284354035890213,-0.284353568877929,3.15469872447238e-13,-4.67012284455226e-07,4.67012599925098e-07
-0.55078125,-0.286311574320283,-0.286312045378292,-0.286311574320602,3.19022586126039e-13,-4.71057689632737e-07,4.71058008655323e-07
-0.546875,-0.288258313702759,-0.288258788794908,-0.288258313703081,3.22686322107302e-13,-4.75091826934726e-07,4.75092149621048e-07
-0.54296875,-0.290193738615869,-0.290194217730596,-0.290193738616195,3.26461080391027e-13,-4.79114400986358e-07,4.79114727447438e-07
-0.5390625,-0.2921178007892,-0.292118283914647,-0.29211780078953,3.3012481637229e-13,-4.83125116690353e-07,4.83125446815169e-07
