x,uNum,uExact
-1,0,0
-0.875,-0.09035914372156,-0.0902323824797648
-0.75,-0.173451987628525,-0.173188487984315
-0.625,-0.24764197489907,-0.247238898543342
-0.5,-0.311259558323338,-0.310722958656049
-0.375,-0.362708379512115,-0.362054092952267
-0.25,-0.400581965446785,-0.399835350196346
-0.125,-0.423777222274994,-0.422971635048908
0,-0.431589722274994,-0.430763853398148
0.125,-0.423777222274994,-0.422971635048908
0.25,-0.400581965446785,-0.399835350196346
0.375,-0.362708379512115,-0.362054092952267
0.5,-0.311259558323338,-0.310722958656049
0.625,-0.24764197489907,-0.247238898543342
0.75,-0.173451987628525,-0.173188487984315
0.875,-0.09035914372156,-0.0902323824797648
1,0,0
