x,uCoarse,uFineAtCoarse,uRichardson,uExact,coarseAbsError,richardsonAbsError
-1,0,0,0,0,0,0
-0.9921875,-0.00582330751151985,-0.00582328549882306,-0.00582327816125746,-0.00582327816130257,2.9350217282606e-08,4.51054124606109e-14
-0.984375,-0.0116238092434419,-0.0116237650494723,-0.0116237503181491,-0.011623750318241,5.89252008662694e-08,9.19403442267708e-14
-0.9765625,-0.0174011502982299,-0.0174010837572453,-0.0174010615769171,-0.0174010615770575,8.87211724157067e-08,1.40363415335187e-13
-0.96875,-0.023154973126578,-0.0231548840757752,-0.0231548543921743,-0.023154854392365,1.18734213003235e-07,1.90708560054986e-13
-0.9609375,-0.0288849175744342,-0.0288848058540543,-0.0288847686139276,-0.0288847686141704,1.48960263804399e-07,2.42843939401993e-13
-0.953125,-0.0345906209317079,-0.0345904863851413,-0.0345904415362858,-0.0345904415365825,1.79395125421422e-07,2.96727920012785e-13
-0.9453125,-0.040271717982663,-0.0402715604565554,-0.0402715079478528,-0.0402715079482052,2.10034457819031e-07,3.52377849122121e-13
-0.9375,-0.0459278410579983,-0.0459276604023557,-0.0459276001838081,-0.0459276001842178,2.40873780525674e-07,4.09693112768394e-13
-0.9296875,-0.0515586200886143,-0.0515584161569084,-0.0515583481796731,-0.0515583481801418,2.71908472480875e-07,4.68708405421125e-13
-0.921875,-0.0571636826610651,-0.0571634553103387,-0.0571633795267632,-0.0571633795272928,3.03133772278086e-07,5.29555566064488e-13
-0.9140625,-0.0627426540746936,-0.0627424031656654,-0.0627423195293227,-0.0627423195299148,3.3454477874062e-07,5.92165205759443e-13
-0.90625,-0.0682951574004463,-0.0682948827976157,-0.0682947912633388,-0.0682947912639953,3.66136451032673e-07,6.56474874460855e-13
-0.8984375,-0.0738208135413634,-0.0738205151131147,-0.0738204156370317,-0.0738204156377542,3.97903609186678e-07,7.22463755487013e-13
-0.890625,-0.079319241294738,-0.0793189189134444,-0.0793188114530132,-0.0793188114538034,4.29840934595971e-07,7.9017348220134e-13
-0.8828125,-0.084790057415939,-0.0847897109580662,-0.0847895954721087,-0.084789595472968,4.61942970902962e-07,8.5938200999891e-13
-0.875,-0.0902328766838889,-0.090232506030098,-0.0902323824788343,-0.0902323824797648,4.94204124054654e-07,9.30491794726152e-13
-0.8671875,-0.0956473119681881,-0.0956469170034376,-0.0956467853485207,-0.0956467853495242,5.26618663870826e-07,1.00348895859526e-12
-0.859375,-0.101032974297875,-0.101032554911523,-0.101032415116072,-0.10103241511715,5.59180725487329e-07,1.07779063451829e-12
-0.8515625,-0.106389472931812,-0.106389029017715,-0.10638888104635,-0.106388881047504,5.91884308467905e-07,1.15389642285635e-12
-0.84375,-0.111716415430684,-0.111715946887301,-0.111715790706173,-0.111715790707405,6.24723279565864e-07,1.23179244582161e-12
-0.8359375,-0.117013407730596,-0.117012914461082,-0.117012750037911,-0.117012750039222,6.57691373875946e-07,1.31107624756766e-12
-0.828125,-0.122280054218254,-0.122279536130564,-0.122279363434667,-0.122279363436059,6.90782195111872e-07,1.39209477278968e-12
-0.8203125,-0.12751595780772,-0.1275154148147,-0.127515233817027,-0.127515233818502,7.2398921796557e-07,1.47476475476083e-12
-0.8125,-0.13272072001871,-0.132720152038198,-0.132719962711361,-0.13271996271292,7.57305789411689e-07,1.55900292675426e-12
-0.8046875,-0.137893941056434,-0.137893348011353,-0.137893150329659,-0.137893150331304,7.90725130261904e-07,1.64460112195286e-12
-0.796875,-0.143035219892948,-0.143034601711397,-0.14303439565088,-0.143034395652611,8.24240336344539e-07,1.73183689611278e-12
-0.7890625,-0.148144154349994,-0.148143510965343,-0.148143296503792,-0.148143296505613,8.57844381335626e-07,1.82054371578033e-12
-0.78125,-0.153220341183323,-0.153219672534301,-0.153219449651294,-0.153219449653205,8.91530117841377e-07,1.91091586998482e-12
-0.7734375,-0.158263376168454,-0.158262682199242,-0.158262450876171,-0.158262450878174,9.25290280062718e-07,2.00259253624324e-12
-0.765625,-0.163272854187872,-0.163272134848187,-0.163271895068291,-0.163271895070387,9.5911748518307e-07,2.09587902588737e-12
-0.7578125,-0.168248369319615,-0.168247624564795,-0.168247376313189,-0.168247376315379,9.93004236088391e-07,2.1905810498879e-12
-0.75,-0.173189514927238,-0.173188744718331,-0.173188487982028,-0.173188487984315,1.02694292355987e-06,2.28664309709359e-12
-0.7421875,-0.178095883751125,-0.178095088054966,-0.178094822822913,-0.178094822825297,1.06092582830009e-06,2.38409292308006e-12
-0.734375,-0.182967068001116,-0.18296624679041,-0.182965973053509,-0.182965973055991,1.09494512412489e-06,2.48279174996924e-12
-0.7265625,-0.187802659450419,-0.187801812703822,-0.187801530454957,-0.18780153045754,1.12899287990631e-06,2.58282284448796e-12
-0.71875,-0.192602249530788,-0.192601377232978,-0.192601086467041,-0.192601086469725,1.16306106262565e-06,2.68410293990939e-12
-0.7109375,-0.197365429428908,-0.197364531570663,-0.197364232284581,-0.197364232287368,1.19714154006578e-06,2.78652101393106e-12
-0.703125,-0.202091790183988,-0.202090866762258,-0.202090558955015,-0.202090558957905,1.2312260837255e-06,2.88988277752367e-12
-0.6953125,-0.206780922786501,-0.206779973804477,-0.206779657477136,-0.20677965748013,1.26530637117872e-06,2.99463231989705e-12
-0.6875,-0.211432418278046,-0.211431443745228,-0.211431118900956,-0.211431118904056,1.29937399009905e-06,3.10051984087067e-12
-0.6796875,-0.216045867852297,-0.21604486778456,-0.216044534428648,-0.216044534431856,1.33342044097984e-06,3.207295540264e-12
-0.671875,-0.220620862956993,-0.220619837376651,-0.220619495516538,-0.220619495519853,1.36743714015952e-06,3.31504268480387e-12
-0.6640625,-0.225156995396946,-0.225155944332811,-0.225155593978099,-0.225155593981523,1.40141542304129e-06,3.42384454121714e-12
-0.65625,-0.229653857438008,-0.229652780925446,-0.229652422087926,-0.229652422091459,1.4353465483119e-06,3.5335345760501e-12
-0.6484375,-0.234111041911965,-0.234109939992957,-0.234109572686621,-0.234109572690265,1.46922170035646e-06,3.6440017670003e-12
-0.640625,-0.238528142322328,-0.238527015045517,-0.23852663928658,-0.238526639290335,1.50303199336621e-06,3.75521835849213e-12
-0.6328125,-0.242904752950954,-0.242903600371698,-0.242903216178612,-0.242903216182479,1.53676847505779e-06,3.86735088397927e-12
-0.625,-0.247240468965473,-0.24723929114589,-0.247238898539362,-0.247238898543342,1.57042213033698e-06,3.98003852097872e-12
-0.6171875,-0.251534886527466,-0.251533683536483,-0.251533282539488,-0.251533282543582,1.60398388460159e-06,4.09355882524665e-12
-0.609375,-0.255787602901361,-0.255786374814749,-0.255785965452545,-0.255785965456753,1.637444608793e-06,4.20752321872442e-12
-0.6015625,-0.259998216563979,-0.259996963464397,-0.259996545764536,-0.259996545768858,1.67079512164436e-06,4.32215374601697e-12
-0.59375,-0.264166327314704,-0.26416504929173,-0.264164623284071,-0.264164623288509,1.70402619509291e-06,4.43761694057798e-12
-0.5859375,-0.268291536386217,-0.268290233536384,-0.268289799253106,-0.268289799257659,1.73712855811026e-06,4.55330217974392e-12
-0.578125,-0.272373446555752,-0.272372118982575,-0.272371676458183,-0.272371676462853,1.77009289992203e-06,4.66948701927095e-12
-0.5703125,-0.276411662256815,-0.276410310070819,-0.276409859342154,-0.27640985934694,1.80290987550347e-06,4.78600492570536e-12
-0.5625,-0.280405789691327,-0.280404413010068,-0.280403954116315,-0.280403954121218,1.8355701088546e-06,4.90291141019839e-12
-0.5546875,-0.284355436942127,-0.284354035890213,-0.284353568872909,-0.284353568877929,1.86806419810726e-06,5.02009545044757e-12
-0.546875,-0.2882602140858,-0.288258788794908,-0.288258313697944,-0.288258313703081,1.90038271929982e-06,5.13716846839429e-12
-0.5390625,-0.292119733305761,-0.292118283914647,-0.292117800784276,-0.29211780078953,1.9325162306516e-06,5.25463006439963e-12
-0.53125,-0.295933609005545,-0.295932135660057,-0.295931644544895,-0.295931644550267,1.96445527794742e-06,5.37203614925374e-12
-0.5234375,-0.299701457922263,-0.299699960775347,-0.299699461726375,-0.299699461731864,1.99619039831234e-06,5.48960876756155e-12
-0.515625,-0.30342289924015,-0.303421378451851,-0.303420871522418,-0.303420871528025,2.02771212498565e-06,5.60712587471812e-12
-0.5078125,-0.307097554704167,-0.307096010441629,-0.30709549568745,-0.307095495693175,2.05901099192829e-06,5.72453195957223e-12
-0.5,-0.310725048733588,-0.310723481171053,-0.310722958650208,-0.310722958656049,2.09007753831925e-06,5.84193804442634e-12
-0.4921875,-0.314305008535526,-0.314303417854322,-0.314302887627254,-0.314302887633213,2.12090231355155e-06,5.95923310697799e-12
-0.484375,-0.317837064218341,-0.317835450606872,-0.317834912736382,-0.317834912742459,2.15147588195075e-06,6.07619510262225e-12
-0.4765625,-0.32132084890486,-0.321319212558595,-0.32131866710984,-0.321318667116033,2.18178882710474e-06,6.19271300905666e-12
-0.46875,-0.32475599884538,-0.324754339966831,-0.324753787007314,-0.324753787013623,2.21183175658224e-06,6.30917540433984e-12
-0.4609375,-0.328142153530364,-0.328140472329064,-0.328139911928631,-0.328139911935056,2.24159530770596e-06,6.42519371041317e-12
-0.453125,-0.331478955802798,-0.331477252495279,-0.331476684726106,-0.331476684732647,2.27107015099426e-06,6.54087894957911e-12
-0.4453125,-0.334766051970136,-0.334764326779897,-0.334763751716484,-0.33476375172314,2.30024699615639e-06,6.65584254377904e-12
-0.4375,-0.338003091915787,-0.338001345073262,-0.338000762792421,-0.338000762799191,2.32911659592272e-06,6.77052858222282e-12
-0.4296875,-0.341189729210074,-0.341187960952597,-0.341187371533438,-0.341187371540323,2.3576697515959e-06,6.88443746454936e-12
-0.421875,-0.344325621220616,-0.34432383179238,-0.344323235316301,-0.344323235323298,2.3858973178803e-06,6.99768021306113e-12
-0.4140625,-0.347410429222072,-0.347408618874084,-0.347408015424755,-0.347408015431865,2.41379020698984e-06,7.11025682775812e-12
-0.40625,-0.350443818505188,-0.350441987495225,-0.350441377158571,-0.350441377165793,2.44133939458768e-06,7.22188975288418e-12
-0.3984375,-0.353425458485087,-0.353423607077645,-0.353422989941831,-0.353422989949164,2.46853592350549e-06,7.33269001074177e-12
-0.390625,-0.356355022808756,-0.356353151274992,-0.356352527430404,-0.356352527437846,2.49537090923901e-06,7.44265760133089e-12
-0.3828125,-0.359232189461648,-0.359230298079326,-0.359229667618552,-0.359229667626103,2.5218355448331e-06,7.55162599119785e-12
-0.375,-0.362056640873372,-0.362054729926798,-0.362054092944607,-0.362054092952267,2.54792110543356e-06,7.65942864688895e-12
-0.3671875,-0.364828064022385,-0.364826133802346,-0.364825490395666,-0.364825490403432,2.57361895278363e-06,7.76617659070666e-12
-0.359375,-0.367546150539647,-0.367544201343338,-0.367543551611235,-0.367543551619107,2.59892054044197e-06,7.87159226689482e-12
-0.3515625,-0.37021059681118,-0.370208628942134,-0.370207972985786,-0.370207972993762,2.62381741811257e-06,7.97600874236082e-12
-0.34375,-0.37282110407946,-0.372819117847473,-0.372818455770144,-0.372818455778223,2.6483012370293e-06,8.07892641674357e-12
-0.3359375,-0.375377378543609,-0.375375374264659,-0.375374706171675,-0.375374706179856,2.67236375345314e-06,8.18062284579923e-12
-0.328125,-0.377879131458312,-0.377877109454475,-0.377876435453196,-0.377876435461477,2.69599683455635e-06,8.28093149607412e-12
-0.3203125,-0.380326079231407,-0.380324039830776,-0.380323360030565,-0.380323360038945,2.71919246175312e-06,8.37968583411453e-12
-0.3125,-0.382717943520108,-0.382715887056698,-0.382715201568894,-0.382715201577371,2.74194273652828e-06,8.47688585992046e-12
-0.3046875,-0.385054451325783,-0.385052378139441,-0.385051687077327,-0.385051687085899,2.76423988387897e-06,8.57208748428206e-12
-0.296875,-0.387335335087256,-0.387333245523563,-0.387332549002333,-0.387332549010999,2.78607625681104e-06,8.66606786331658e-12
-0.2890625,-0.389560332772559,-0.389558227182734,-0.389557525319459,-0.389557525328218,2.80744434161262e-06,8.75849393011663e-12
-0.28125,-0.391729187969106,-0.391727066709898,-0.391726359623496,-0.391726359632345,2.82833676090721e-06,8.84914364007727e-12
-0.2734375,-0.393841649972207,-0.393839513405795,-0.39383880121699,-0.393838801225928,2.84874627887177e-06,8.93751739283744e-12
-0.265625,-0.395897473871904,-0.395895322365783,-0.395894605197075,-0.3958946052061,2.86866580484491e-06,9.02417029990943e-12
-0.2578125,-0.397896420638054,-0.397894254564924,-0.397893532540547,-0.397893532549656,2.88808839771226e-06,9.10871378323463e-12
-0.25,-0.399838257203616,-0.39983607694127,-0.399835350187155,-0.399835350196346,2.90700726973681e-06,9.19148090972044e-12
-0.2421875,-0.401722756546106,-0.401720562477309,-0.401719831121043,-0.401719831130315,2.92541579083316e-06,9.27241616821561e-12
-0.234375,-0.403549697767154,-0.403547490279522,-0.403546754450311,-0.403546754459662,2.94330749217586e-06,9.35135302526646e-12
-0.2265625,-0.40531886617013,-0.405316645656006,-0.405315905484632,-0.40531590549406,2.96067606980754e-06,9.42818045857052e-12
-0.21875,-0.407030053335786,-0.407027820192117,-0.407027075810895,-0.407027075820398,2.97751538852475e-06,9.50300949043026e-12
-0.2109375,-0.408683057195877,-0.408680811824081,-0.408680063366816,-0.408680063376391,2.99381948593025e-06,9.57550705393828e-12
-0.203125,-0.41027768210471,-0.410275424910544,-0.410274672512489,-0.410274672522134,3.00958257515305e-06,9.64567314909459e-12
-0.1953125,-0.411813738908579,-0.411811470302007,-0.411810714099816,-0.41181071410953,3.02479904878972e-06,9.71361879820165e-12
-0.1875,-0.413291045013058,-0.413288765408112,-0.413288005539796,-0.413288005549575,3.03946348217954e-06,9.77917746780577e-12
-0.1796875,-0.414709424448091,-0.414707134262732,-0.414706370867612,-0.414706370877454,3.05357063645761e-06,9.8424601802094e-12
-0.171875,-0.416068707930859,-0.416066407586835,-0.416065640805494,-0.416065640815398,3.06711546166349e-06,9.90346693541255e-12
-0.1640625,-0.417368732926377,-0.41736642284908,-0.417365652823315,-0.417365652833277,3.08009309996082e-06,9.96208671111276e-12
-0.15625,-0.418609343705782,-0.418607024324102,-0.418606251196875,-0.418606251206894,3.09249888857943e-06,1.00182639961588e-11
-0.1484375,-0.419790391402294,-0.419788063148468,-0.419787287063859,-0.419787287073931,3.1043283621468e-06,1.00719432793994e-11
-0.140625,-0.420911734064789,-0.420909397374255,-0.42090861847741,-0.420908618487533,3.11557725590772e-06,1.01230690496834e-11
-0.1328125,-0.421973236708983,-0.421970892020224,-0.421970110457304,-0.421970110467476,3.12624150783369e-06,1.01715857958595e-11
-0.125,-0.42297477136617,-0.42297241912056,-0.422971635038691,-0.422971635048908,3.13631726139851e-06,1.02174380067765e-11
-0.1171875,-0.423916217129496,-0.423913857771149,-0.423913071318367,-0.423913071328628,3.14580086796523e-06,1.02608477270394e-11
-0.109375,-0.424797460197749,-0.424795094173356,-0.424794305498558,-0.42479430550886,3.15468888850701e-06,1.03018149566481e-11
-0.1015625,-0.42561839391662,-0.425616021675293,-0.425615230928184,-0.425615230938524,3.16297809621613e-06,1.03401176509976e-11
-0.09375,-0.426378918817428,-0.426376540810538,-0.426375748141574,-0.42637574815195,3.17066547816935e-06,1.03757002989369e-11
-0.0859375,-0.42707894265327,-0.427076559334286,-0.427075764894624,-0.427075764905033,3.17774823715977e-06,1.04087294339195e-11
-0.078125,-0.427718380432589,-0.427715992256914,-0.427715196198356,-0.427715196208795,3.18422379358418e-06,1.04389275001893e-11
-0.0703125,-0.428297154450129,-0.428294761874939,-0.428293964349876,-0.428293964360342,3.19008978655333e-06,1.04663500088975e-11
-0.0625,-0.428815194315261,-0.428812797799336,-0.428811998960694,-0.428811998971185,3.19534407594579e-06,1.04911079823466e-11
-0.0546875,-0.429272436977667,-0.429270036981225,-0.429269236982411,-0.429269236992924,3.19998474346272e-06,1.05129238647805e-11
-0.046875,-0.429668826750358,-0.429666423734888,-0.429665622729732,-0.429665622740264,3.20401009351601e-06,1.05318531673504e-11
-0.0390625,-0.430004315330018,-0.430001909758116,-0.430001107900816,-0.430001107911364,3.20741865461605e-06,1.0547840378905e-11
-0.03125,-0.430278861814668,-0.430276454149863,-0.430275651594928,-0.430275651605489,3.21020917992687e-06,1.05609965217468e-11
-0.0234375,-0.430492432718619,-0.430490023425204,-0.430489220327399,-0.43048922033797,3.21238064865392e-06,1.05712105735734e-11
-0.015625,-0.430645001984725,-0.430642591527592,-0.430641788041881,-0.430641788052459,3.21393226587752e-06,1.0578815601292e-11
-0.0078125,-0.430736550993924,-0.430734139838388,-0.430733336119877,-0.43073333613046,3.21486346366306e-06,1.05835340491467e-11
0,-0.430767068572049,-0.430764657183684,-0.430763853387563,-0.430763853398148,3.21517390089454e-06,1.0585532450591e-11
0.0078125,-0.430736550993924,-0.430734139838388,-0.430733336119876,-0.43073333613046,3.21486346410715e-06,1.05845887610201e-11
0.015625,-0.430645001984726,-0.43064259152759,-0.430641788041879,-0.430641788052459,3.21393226682121e-06,1.05808140027364e-11
0.0234375,-0.43049243271862,-0.430490023425202,-0.430489220327396,-0.43048922033797,3.21238064998619e-06,1.05741526645886e-11
0.03125,-0.43027886181467,-0.430276454149861,-0.430275651594924,-0.430275651605489,3.21020918175874e-06,1.05645492354256e-11
0.0390625,-0.430004315330021,-0.430001909758114,-0.430001107900812,-0.430001107911364,3.207418656892e-06,1.05520037152473e-11
0.046875,-0.42966882675036,-0.429666423734886,-0.429665622729727,-0.429665622740264,3.20401009629157e-06,1.05366826375075e-11
0.0546875,-0.42927243697767,-0.429270036981221,-0.429269236982405,-0.429269236992924,3.19998474673788e-06,1.05186415133574e-11
0.0625,-0.428815194315265,-0.428812797799332,-0.428811998960688,-0.428811998971185,3.19534407972055e-06,1.04976027870407e-11
0.0703125,-0.428297154450133,-0.428294761874935,-0.428293964349868,-0.428293964360342,3.19008979071667e-06,1.04737329920113e-11
0.078125,-0.427718380432593,-0.427715992256909,-0.427715196198348,-0.427715196208795,3.1842237981361e-06,1.04471986617227e-11
0.0859375,-0.427078942653275,-0.42707655933428,-0.427075764894615,-0.427075764905033,3.17774824210026e-06,1.04178887738726e-11
0.09375,-0.426378918817433,-0.426376540810532,-0.426375748141564,-0.42637574815195,3.17066548349842e-06,1.03856367950073e-11
0.1015625,-0.425618393916626,-0.425616021675287,-0.425615230928173,-0.425615230938524,3.16297810193378e-06,1.03505537474291e-11
0.109375,-0.424797460197755,-0.424795094173349,-0.424794305498547,-0.42479430550886,3.15468889450221e-06,1.03128061645918e-11
0.1171875,-0.423916217129502,-0.423913857771142,-0.423913071318355,-0.423913071328628,3.14580087418248e-06,1.0272283024193e-11
0.125,-0.422974771366176,-0.422972419120553,-0.422971635038679,-0.422971635048908,3.1363172677823e-06,1.02290953485351e-11
0.1328125,-0.42197323670899,-0.421970892020217,-0.421970110457292,-0.421970110467476,3.1262415143285e-06,1.01833541599206e-11
0.140625,-0.420911734064796,-0.420909397374247,-0.420908618477398,-0.420908618487533,3.11557726262457e-06,1.01351149695006e-11
0.1484375,-0.419790391402301,-0.41978806314846,-0.419787287063847,-0.419787287073931,3.1043283690857e-06,1.00844332884265e-11
0.15625,-0.418609343705789,-0.418607024324094,-0.418606251196862,-0.418606251206894,3.09249889574037e-06,1.00312536055469e-11
0.1640625,-0.417368732926384,-0.417366422849072,-0.417365652823301,-0.417365652833277,3.0800931072883e-06,9.97579796546688e-12
0.171875,-0.416068707930867,-0.416066407586827,-0.41606564080548,-0.416065640815398,3.06711546910199e-06,9.91767779012775e-12
0.1796875,-0.414709424448098,-0.414707134262722,-0.414706370867597,-0.414706370877454,3.05357064400713e-06,9.85728165758815e-12
0.1875,-0.413291045013065,-0.413288765408102,-0.413288005539781,-0.413288005549575,3.0394634899511e-06,9.79444303439436e-12
0.1953125,-0.411813738908587,-0.411811470301997,-0.411810714099801,-0.41181071410953,3.0247990566723e-06,9.7293284540001e-12
0.203125,-0.410277682104718,-0.410275424910534,-0.410274672512473,-0.410274672522134,3.00958258314665e-06,9.66188240525412e-12
0.2109375,-0.408683057195885,-0.408680811824071,-0.408680063366799,-0.408680063376391,2.99381949409039e-06,9.59216039930766e-12
0.21875,-0.407030053335794,-0.407027820192107,-0.407027075810877,-0.407027075820398,2.9775153967404e-06,9.52010692500949e-12
0.2265625,-0.405318866170138,-0.405316645655995,-0.405315905484615,-0.40531590549406,2.96067607818973e-06,9.44549993775468e-12
0.234375,-0.403549697767163,-0.403547490279511,-0.403546754450293,-0.403546754459662,2.94330750066907e-06,9.36889454905554e-12
0.2421875,-0.401722756546115,-0.401720562477298,-0.401719831121025,-0.401719831130315,2.9254157994929e-06,9.29006871430715e-12
0.25,-0.399838257203625,-0.399836076941259,-0.399835350187137,-0.399835350196346,2.90700727850757e-06,9.20924447811444e-12
0.2578125,-0.397896420638063,-0.397894254564913,-0.39789353254053,-0.397893532549656,2.88808840653854e-06,9.12647735162864e-12
0.265625,-0.395897473871913,-0.395895322365772,-0.395894605197058,-0.3958946052061,2.86866581383771e-06,9.04160080139604e-12
0.2734375,-0.393841649972216,-0.393839513405784,-0.393838801216973,-0.393838801225928,2.8487462879756e-06,8.95489238317282e-12
