coarseN,fineN,h,coarseMaxError,richardsonMaxError,coarseOrder,richardsonOrder
8,16,0.25,0.00333762030898693,1.13816005340439e-05,NaN,NaN
16,32,0.125,0.000825868876846214,6.99576323759388e-07,2.01483519327841,4.02407817625843
32,64,0.0625,0.000205942536968706,4.35434214796082e-08,2.00367089704768,4.00595478528285
64,128,0.03125,5.14529766760807e-05,2.71866684720123e-09,2.00091539821286,4.00148349802508
128,256,0.015625,1.2861205168857e-05,1.69855074449998e-10,2.0002287050262,4.00052314569655
256,512,0.0078125,3.21517390089454e-06,1.0585532450591e-11,2.00005716119562,4.0041385760138
