x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.96875,-0.0231548543431049,-0.0231567543244995,-0.023154854392365,4.92601168189388e-11,-1.89993213452894e-06,1.89998139464576e-06
-0.9375,-0.0459276000785056,-0.0459314545611295,-0.0459276001842178,1.05712237574718e-10,-3.8543769117147e-06,3.85448262395227e-06
-0.90625,-0.0682947910946519,-0.0683006500822499,-0.0682947912639953,1.693434281691e-10,-5.85881825465595e-06,5.85898759808412e-06
-0.875,-0.0902323822396967,-0.0902402906459994,-0.0902323824797648,2.4006813204025e-10,-7.90816623456869e-06,7.90840630270073e-06
-0.84375,-0.11171579038968,-0.111725787471337,-0.111715790707405,3.17725207255037e-10,-9.99676393190208e-06,9.99708165710933e-06
-0.8125,-0.132719962310846,-0.132732081113307,-0.13271996271292,4.02074012972875e-10,-1.21184003870067e-05,1.21188024610197e-05
-0.78125,-0.153219449160411,-0.153233715983032,-0.153219449653205,4.92794194340007e-10,-1.42663298274837e-05,1.4266822621678e-05
-0.75,-0.173188487394829,-0.173204921281606,-0.173188487984315,5.89485182889149e-10,-1.64332972915071e-05,1.643388677669e-05
-0.71875,-0.192601085778058,-0.192619698040404,-0.192601086469725,6.91666890428877e-10,-1.86115706784507e-05,1.86122623453411e-05
-0.6875,-0.211431118105276,-0.211451911883226,-0.211431118904056,7.98780569466473e-10,-2.0792979169959e-05,2.07937779505285e-05
-0.65625,-0.229652421181266,-0.22967539104933,-0.229652422091459,9.10193281855598e-10,-2.29689578711834e-05,2.29698680644652e-05
-0.625,-0.247238897518141,-0.247264029141776,-0.247238898543342,1.02520120170979e-09,-2.51305984337591e-05,2.51316236349608e-05
-0.59375,-0.264164622145473,-0.264191891993829,-0.264164623288509,1.14303566611795e-09,-2.72687053202159e-05,2.7269848355882e-05
-0.5625,-0.280403952858349,-0.2804333279785,-0.280403954121218,1.26286842094814e-09,-2.93738572823554e-05,2.93751201507764e-05
-0.53125,-0.295931643166446,-0.295963081023796,-0.295931644550267,1.38382083569866e-09,-3.14364735292672e-05,3.14378573501028e-05
-0.5,-0.310722957151078,-0.310756405540031,-0.310722958656049,1.50497142525907e-09,-3.34468839818802e-05,3.34483889533055e-05
-0.46875,-0.324753785388258,-0.324789182416548,-0.324753787013623,1.62536589742857e-09,-3.53954029248538e-05,3.53970282907512e-05
-0.4375,-0.338000761055165,-0.338038035204491,-0.338000762799191,1.74402647878935e-09,-3.72724052993822e-05,3.7274149325861e-05
-0.40625,-0.350441375305828,-0.350480445570607,-0.350441377165793,1.85996446022685e-09,-3.90684048137135e-05,3.90702647781738e-05
-0.375,-0.362054090980077,-0.362094867085271,-0.362054092952267,1.9721899668923e-09,-4.07741330039069e-05,4.07761051938738e-05
-0.34375,-0.372818453698499,-0.372860836396553,-0.372818455778223,2.07972439270065e-09,-4.23806183297848e-05,4.23826980541775e-05
-0.3125,-0.382715199395758,-0.382759080841743,-0.382715201577371,2.18161277931728e-09,-4.38792643721597e-05,4.3881445984939e-05
-0.28125,-0.391726357355411,-0.391771621558528,-0.391726359632345,2.27693419674324e-09,-4.52619261832043e-05,4.52642031174011e-05
-0.25,-0.399835347831531,-0.39988187118019,-0.399835350196346,2.36481501048047e-09,-4.65209838436675e-05,4.6523348658678e-05
-0.21875,-0.407027073375958,-0.407074725232698,-0.407027075820398,2.44443920660586e-09,-4.76494123005655e-05,4.76518567397721e-05
-0.1875,-0.413288003034517,-0.413336646396168,-0.413288005549575,2.51505855031198e-09,-4.8640846592618e-05,4.86433616511683e-05
-0.15625,-0.41860624863089,-0.418655740848507,-0.418606251206894,2.57600357711496e-09,-4.94896416138868e-05,4.94922176174639e-05
-0.125,-0.422971632422217,-0.423021825974542,-0.422971635048908,2.62669141992689e-09,-5.01909256341304e-05,5.01935523255503e-05
-0.09375,-0.426375745485316,-0.426426488798814,-0.42637574815195,2.66663419123958e-09,-5.07406468643889e-05,5.07433134985802e-05
-0.0625,-0.42881199627574,-0.428863134583631,-0.428811998971185,2.69544547792933e-09,-5.11356124456297e-05,5.11383078911076e-05
-0.03125,-0.430275648892643,-0.430327025124824,-0.430275651605489,2.71284528174931e-09,-5.13735193356513e-05,5.1376232180933e-05
0,-0.430763850679484,-0.430815306374824,-0.430763853398148,2.71866412715482e-09,-5.14529766760807e-05,5.14556953402079e-05
0.03125,-0.430275648892643,-0.430327025124824,-0.430275651605489,2.71284528174931e-09,-5.13735193358178e-05,5.13762321810995e-05
0.0625,-0.42881199627574,-0.428863134583631,-0.428811998971185,2.69544553344048e-09,-5.11356124459628e-05,5.11383078914962e-05
0.09375,-0.426375745485316,-0.426426488798815,-0.42637574815195,2.66663430226188e-09,-5.0740646864833e-05,5.07433134991353e-05
0.125,-0.422971632422217,-0.423021825974543,-0.422971635048908,2.62669130890458e-09,-5.01909256346855e-05,5.01935523259944e-05
0.15625,-0.41860624863089,-0.418655740848508,-0.418606251206894,2.57600352160381e-09,-4.94896416144974e-05,4.9492217618019e-05
