N,h,maxError,rmsError,pairwiseOrder,fittedOrder,timeSeconds
6,0.5,0.00109938390818964,0.00059197427228761,NaN,4.03667072739102,3.05835523012552e-06
12,0.25,6.34307799609601e-05,3.36849481197829e-05,4.11536837549815,4.03667072739102,3.68787868852459e-06
24,0.125,3.79223658786287e-06,2.00547300944651e-06,4.0640622038437,4.03667072739102,4.94201191709844e-06
48,0.0625,2.31568712649732e-07,1.22273691267546e-07,4.03353672462035,4.03667072739102,6.63184125874126e-06
96,0.03125,1.43021710030666e-08,7.54696001701061e-09,4.01713428019552,4.03667072739102,1.08935301075269e-05
192,0.015625,8.88538131960104e-10,4.68722539845404e-10,4.008656656399,4.03667072739102,2.14622764705882e-05
384,0.0078125,5.53663781488467e-11,2.92022469912472e-11,4.00435163678182,4.03667072739102,3.90230230769231e-05
