x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.984375,-0.0116237503167576,-0.0116239860234948,-0.011623750318241,1.4834609235459e-12,-2.35705253761112e-07,2.35706737222036e-07
-0.96875,-0.0231548543892862,-0.0231553293384533,-0.023154854392365,3.07882538908011e-12,-4.74946088305228e-07,4.74949167130617e-07
-0.953125,-0.0345904415317957,-0.0345911591314444,-0.0345904415365825,4.78681677629211e-12,-7.17594861872339e-07,7.17599648689116e-07
-0.9375,-0.0459276001776107,-0.0459285636991611,-0.0459276001842178,6.60715926414923e-12,-9.63514943282118e-07,9.63521550441382e-07
-0.921875,-0.0571633795187531,-0.0571645920880004,-0.0571633795272928,8.53963427749349e-12,-1.21256070761272e-06,1.212569247247e-06
-0.90625,-0.0682947912534114,-0.0682962558415507,-0.0682947912639953,1.05839087494175e-11,-1.46457755537122e-06,1.46458813927997e-06
-0.890625,-0.0793188114410644,-0.0793205308557582,-0.0793188114538034,1.27390042958808e-11,-1.7194019548139e-06,1.7194146938182e-06
-0.875,-0.0902323824647612,-0.0902343593412714,-0.0902323824797648,1.5003651099299e-11,-1.97686150656129e-06,1.97687651021239e-06
-0.859375,-0.101032415099773,-0.101034651892182,-0.10103241511715,1.73769054701012e-11,-2.23677503202735e-06,2.23679240893282e-06
-0.84375,-0.111715790687548,-0.111718289660093,-0.111715790707405,1.98567967624186e-11,-2.49895268783495e-06,2.49897254463172e-06
-0.828125,-0.122279363413618,-0.122282126632162,-0.122279363436059,2.24411461635654e-11,-2.76319610272024e-06,2.76321854386641e-06
-0.8125,-0.132719962687792,-0.13272299201146,-0.13271996271292,2.51279275165217e-11,-3.02929853973621e-06,3.02932366766373e-06
-0.796875,-0.143034395624697,-0.143037692697697,-0.143034395652611,2.79139766856673e-11,-3.29704508519879e-06,3.29707299917548e-06
-0.78125,-0.153219449622408,-0.153223015866064,-0.153219449653205,3.07969205692871e-11,-3.56621285943493e-06,3.56624365635549e-06
-0.765625,-0.163271895036614,-0.163275731641644,-0.163271895070387,3.37730676758241e-11,-3.83657125671566e-06,3.83660502978334e-06
-0.75,-0.173188487947476,-0.173192595866522,-0.173188487984315,3.68388930471752e-11,-4.10788220689406e-06,4.10791904578711e-06
-0.734375,-0.182965973016001,-0.182970352956455,-0.182965973055991,3.99906219250568e-11,-4.37990046359138e-06,4.3799404542133e-06
-0.71875,-0.192601086426501,-0.192605738843642,-0.192601086469725,4.32240632175507e-11,-4.65237391711337e-06,4.65241714117659e-06
