x,uCoarse,uFineAtCoarse,uRichardson,uExact,coarseAbsError,richardsonAbsError
-1,0,0,0,0,0,0
-0.75,-0.174249791913488,-0.173451987628525,-0.173186052866871,-0.173188487984315,0.00106130392917309,2.43511744332792e-06
-0.5,-0.312888157281293,-0.311259558323338,-0.31071669200402,-0.310722958656049,0.00216519862524328,6.26665202990706e-06
-0.25,-0.402851473707135,-0.400581965446785,-0.399825462693335,-0.399835350196346,0.00301612351078873,9.88750301150754e-06
0,-0.434101473707135,-0.431589722274994,-0.430752471797614,-0.430763853398148,0.00333762030898693,1.13816005340439e-05
0.25,-0.402851473707135,-0.400581965446785,-0.399825462693335,-0.399835350196346,0.00301612351078878,9.88750301150754e-06
0.5,-0.312888157281293,-0.311259558323338,-0.310716692004019,-0.310722958656049,0.00216519862524339,6.26665203007359e-06
0.75,-0.174249791913488,-0.173451987628525,-0.173186052866871,-0.173188487984315,0.00106130392917314,2.43511744338343e-06
1,0,0,0,0,0,0
