x,uNum,uExact
-1,0,0
-0.96875,-0.0231567543244995,-0.023154854392365
-0.9375,-0.0459314545611295,-0.0459276001842178
-0.90625,-0.0683006500822499,-0.0682947912639953
-0.875,-0.0902402906459994,-0.0902323824797648
-0.84375,-0.111725787471337,-0.111715790707405
-0.8125,-0.132732081113307,-0.13271996271292
-0.78125,-0.153233715983032,-0.153219449653205
-0.75,-0.173204921281606,-0.173188487984315
-0.71875,-0.192619698040404,-0.192601086469725
-0.6875,-0.211451911883226,-0.211431118904056
-0.65625,-0.22967539104933,-0.229652422091459
-0.625,-0.247264029141776,-0.247238898543342
-0.59375,-0.264191891993829,-0.264164623288509
-0.5625,-0.2804333279785,-0.280403954121218
-0.53125,-0.295963081023796,-0.295931644550267
-0.5,-0.310756405540031,-0.310722958656049
-0.46875,-0.324789182416548,-0.324753787013623
-0.4375,-0.338038035204491,-0.338000762799191
-0.40625,-0.350480445570607,-0.350441377165793
-0.375,-0.362094867085271,-0.362054092952267
-0.34375,-0.372860836396553,-0.372818455778223
-0.3125,-0.382759080841743,-0.382715201577371
-0.28125,-0.391771621558528,-0.391726359632345
-0.25,-0.39988187118019,-0.399835350196346
-0.21875,-0.407074725232698,-0.407027075820398
-0.1875,-0.413336646396168,-0.413288005549575
-0.15625,-0.418655740848507,-0.418606251206894
-0.125,-0.423021825974542,-0.422971635048908
-0.09375,-0.426426488798814,-0.42637574815195
-0.0625,-0.428863134583631,-0.428811998971185
-0.03125,-0.430327025124824,-0.430275651605489
0,-0.430815306374824,-0.430763853398148
0.03125,-0.430327025124824,-0.430275651605489
0.0625,-0.428863134583631,-0.428811998971185
0.09375,-0.426426488798815,-0.42637574815195
0.125,-0.423021825974543,-0.422971635048908
0.15625,-0.418655740848508,-0.418606251206894
0.1875,-0.413336646396169,-0.413288005549575
0.21875,-0.407074725232699,-0.407027075820398
0.25,-0.399881871180191,-0.399835350196346
0.28125,-0.391771621558529,-0.391726359632345
0.3125,-0.382759080841744,-0.382715201577371
0.34375,-0.372860836396554,-0.372818455778223
0.375,-0.362094867085272,-0.362054092952267
0.40625,-0.350480445570608,-0.350441377165793
0.4375,-0.338038035204492,-0.338000762799191
0.46875,-0.324789182416549,-0.324753787013623
0.5,-0.310756405540032,-0.310722958656049
0.53125,-0.295963081023797,-0.295931644550267
0.5625,-0.280433327978501,-0.280403954121218
0.59375,-0.26419189199383,-0.264164623288509
0.625,-0.247264029141777,-0.247238898543342
0.65625,-0.229675391049331,-0.229652422091459
0.6875,-0.211451911883227,-0.211431118904056
0.71875,-0.192619698040404,-0.192601086469725
0.75,-0.173204921281607,-0.173188487984315
0.78125,-0.153233715983033,-0.153219449653205
0.8125,-0.132732081113308,-0.13271996271292
0.84375,-0.111725787471337,-0.111715790707405
0.875,-0.0902402906459998,-0.0902323824797648
0.90625,-0.0683006500822502,-0.0682947912639953
0.9375,-0.0459314545611297,-0.0459276001842178
0.96875,-0.0231567543244996,-0.023154854392365
1,0,0
