x,uCoarse,uFineAtCoarse,uRichardson,uExact,coarseAbsError,richardsonAbsError
-1,0,0,0,0,0,0
-0.984375,-0.0116239860234948,-0.0116238092434419,-0.0116237503167576,-0.011623750318241,2.35705253761112e-07,1.48343143324681e-12
-0.96875,-0.0231553293384533,-0.023154973126578,-0.0231548543892862,-0.023154854392365,4.74946088305228e-07,3.07876293903497e-12
-0.953125,-0.0345911591314444,-0.0345906209317079,-0.0345904415317958,-0.0345904415365825,7.17594861872339e-07,4.78672657067136e-12
-0.9375,-0.0459285636991611,-0.0459278410579983,-0.0459276001776108,-0.0459276001842178,9.63514943282118e-07,6.60705518074067e-12
-0.921875,-0.0571645920880004,-0.0571636826610651,-0.0571633795187533,-0.0571633795272928,1.21256070761272e-06,8.53950243850932e-12
-0.90625,-0.0682962558415507,-0.0682951574004463,-0.0682947912534115,-0.0682947912639953,1.46457755537122e-06,1.05837422159638e-11
-0.890625,-0.0793205308557582,-0.079319241294738,-0.0793188114410646,-0.0793188114538034,1.7194019548139e-06,1.27388100068515e-11
-0.875,-0.0902343593412714,-0.0902328766838889,-0.0902323824647614,-0.0902323824797648,1.97686150656129e-06,1.50034429324819e-11
-0.859375,-0.101034651892182,-0.101032974297875,-0.101032415099773,-0.10103241511715,2.23677503202735e-06,1.73766973032841e-11
-0.84375,-0.111718289660093,-0.111716415430684,-0.111715790687548,-0.111715790707405,2.49895268783495e-06,1.98565192066624e-11
-0.828125,-0.122282126632162,-0.122280054218254,-0.122279363413619,-0.122279363436059,2.76319610272024e-06,2.24407575855068e-11
-0.8125,-0.13272299201146,-0.13272072001871,-0.132719962687793,-0.13271996271292,3.02929853973621e-06,2.51273724050094e-11
-0.796875,-0.143037692697697,-0.143035219892948,-0.143034395624698,-0.143034395652611,3.29704508519879e-06,2.79132550407013e-11
-0.78125,-0.153223015866064,-0.153220341183323,-0.153219449622409,-0.153219449653205,3.56621285943493e-06,3.07960323908674e-11
-0.765625,-0.163275731641644,-0.163272854187872,-0.163271895036615,-0.163271895070387,3.83657125671566e-06,3.37719852083751e-11
-0.75,-0.173192595866522,-0.173189514927238,-0.173188487947477,-0.173188487984315,4.10788220689406e-06,3.68375607795457e-11
-0.734375,-0.182970352956455,-0.182967068001116,-0.182965973016002,-0.182965973055991,4.37990046359138e-06,3.99890398572467e-11
-0.71875,-0.192605738843642,-0.192602249530788,-0.192601086426503,-0.192601086469725,4.65237391711337e-06,4.32222035939844e-11
-0.703125,-0.202095484001836,-0.202091790183988,-0.202090558911372,-0.202090558957905,4.92504393154181e-06,4.65322225196019e-11
-0.6875,-0.211436316549761,-0.211432418278046,-0.211431118854142,-0.211431118904056,5.19764570450221e-06,4.99147112531517e-11
-0.671875,-0.220624965428506,-0.220620862956993,-0.220619495466489,-0.220619495519853,5.46990865327168e-06,5.33642019462377e-11
-0.65625,-0.229658163648279,-0.229653857438008,-0.229652422034584,-0.229652422091459,5.74155682012134e-06,5.68756153285221e-11
-0.640625,-0.238532651599638,-0.238528142322328,-0.238526639229892,-0.238526639290335,6.01230930294405e-06,6.0443178240277e-11
-0.625,-0.247245180424047,-0.247240468965473,-0.247238898479281,-0.247238898543342,6.28188070475599e-06,6.40611175217742e-11
-0.609375,-0.255792515438358,-0.255787602901361,-0.255785965389029,-0.255785965456753,6.54998160515285e-06,6.77233269463784e-11
-0.59375,-0.26417143960756,-0.264166327314704,-0.264164623217086,-0.264164623288509,6.81631905047331e-06,7.14233672205467e-11
-0.578125,-0.272378757059916,-0.272373446555752,-0.272371676387698,-0.272371676462853,7.08059706316932e-06,7.51544937394044e-11
-0.5625,-0.280411296638384,-0.280405789691327,-0.280403954042307,-0.280403954121218,7.34251716644208e-06,7.89103227205601e-11
-0.546875,-0.288265915482009,-0.2882602140858,-0.288258313620398,-0.288258313703081,7.60177892766833e-06,8.26834711808999e-11
-0.53125,-0.295939502630781,-0.295933609005545,-0.2959316444638,-0.295931644550267,7.85808051378956e-06,8.64673332934274e-11
-0.515625,-0.303428982647287,-0.30342289924015,-0.303420871437771,-0.303420871528025,8.11111926268815e-06,9.02542485192726e-11
-0.5,-0.310731319248313,-0.310725048733588,-0.310722958562013,-0.310722958656049,8.36059226400065e-06,9.40368893864729e-11
-0.484375,-0.31784351893941,-0.317837064218341,-0.317834912644651,-0.317834912742459,8.60619695131071e-06,9.78078174007635e-11
-0.46875,-0.324762634645327,-0.32475599884538,-0.324753786912064,-0.324753787013623,8.84763170400094e-06,1.01559205489821e-10
-0.453125,-0.331485769329101,-0.331478955802798,-0.331476684627363,-0.331476684732647,9.08459645443394e-06,1.05283504137077e-10
-0.4375,-0.338010079592493,-0.338003091915787,-0.338000762690218,-0.338000762799191,9.31679330218316e-06,1.08972830759058e-10
-0.421875,-0.344332779250429,-0.344325621220616,-0.344323235210679,-0.344323235323298,9.54392713070629e-06,1.12619691350346e-10
-0.40625,-0.35045114287202,-0.350443818505188,-0.350441377049577,-0.350441377165793,9.76570622729378e-06,1.16216314349771e-10
-0.390625,-0.356362509280748,-0.356355022808756,-0.356352527318091,-0.356352527437846,9.98184290212922e-06,1.19755094729612e-10
-0.375,-0.362064285006372,-0.362056640873372,-0.362054092829039,-0.362054092952267,1.01920541058509e-05,1.23228038884093e-10
-0.359375,-0.367553947681151,-0.367546150539647,-0.367543551492479,-0.367543551619107,1.03960620442822e-05,1.26627486274344e-10
-0.34375,-0.37282904937301,-0.37282110407946,-0.372818455648277,-0.372818455778223,1.05935947866675e-05,1.29946220450705e-10
-0.328125,-0.377887219848345,-0.377879131458312,-0.377876435328301,-0.377876435461477,1.0784386867968e-05,1.33176580874306e-10
-0.3125,-0.382726169757252,-0.382717943520108,-0.382715201441059,-0.382715201577371,1.09681798812766e-05,1.36311739673545e-10
-0.296875,-0.387343693734058,-0.387335335087256,-0.387332548871655,-0.387332549010999,1.11447230591866e-05,1.39343980798401e-10
-0.28125,-0.391737673406188,-0.391729187969106,-0.391726359490078,-0.391726359632345,1.1313773843058e-05,1.42266476377273e-10
-0.265625,-0.395906080304537,-0.395897473871904,-0.395894605061027,-0.3958946052061,1.14750984374634e-05,1.45072731605467e-10
-0.25,-0.399846978668694,-0.399838257203616,-0.39983535004859,-0.399835350196346,1.16284723476467e-05,1.47756251678288e-10
