x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.875,-0.0902323209853644,-0.09035914372156,-0.0902323824797648,6.14944004190265e-08,-0.00012676124179517,0.000126822736195589
-0.75,-0.173188336764502,-0.173451987628525,-0.173188487984315,1.51219812227765e-07,-0.000263499644210768,0.000263650864022996
-0.625,-0.247238635270358,-0.24764197489907,-0.247238898543342,2.63272983830332e-07,-0.000403076355727866,0.000403339628711696
-0.5,-0.31072257187496,-0.311259558323338,-0.310722958656049,3.8678108943424e-07,-0.000536599667288362,0.000536986448377796
-0.375,-0.362053585807994,-0.362708379512115,-0.362054092952267,5.07144272687832e-07,-0.000654286559848172,0.00065479370412086
-0.25,-0.399834741855089,-0.400581965446785,-0.399835350196346,6.08341257701817e-07,-0.000746615250438565,0.000747223591696267
-0.125,-0.422970959189169,-0.423777222274994,-0.422971635048908,6.75859738952234e-07,-0.000805587226086146,0.000806263085825099
0,-0.430763153821826,-0.431589722274994,-0.430763853398148,6.99576321983031e-07,-0.000825868876846214,0.000826568453168197
0.125,-0.422970959189169,-0.423777222274994,-0.422971635048908,6.75859738896722e-07,-0.000805587226086146,0.000806263085825043
0.25,-0.399834741855089,-0.400581965446785,-0.399835350196346,6.08341257590794e-07,-0.000746615250438565,0.000747223591696156
0.375,-0.362053585807994,-0.362708379512115,-0.362054092952267,5.07144272687832e-07,-0.000654286559848172,0.00065479370412086
0.5,-0.31072257187496,-0.311259558323338,-0.310722958656049,3.86781089489752e-07,-0.000536599667288307,0.000536986448377796
0.625,-0.247238635270359,-0.24764197489907,-0.247238898543342,2.63272983636043e-07,-0.000403076355727866,0.000403339628711502
0.75,-0.173188336764502,-0.173451987628525,-0.173188487984315,1.51219812227765e-07,-0.000263499644210741,0.000263650864022968
0.875,-0.0902323209853646,-0.09035914372156,-0.0902323824797648,6.14944002386153e-08,-0.00012676124179517,0.000126822736195409
1,0,0,0,0,0,0
