nIntervals,stepSize,maxError,maxOrder,rmsError,rmsOrder,weightedL2Error,weightedL2Order,algebraicResidual,truncationResidual,truncationOrder,conditionEstimate
8,0.25,0.00333762030898693,NaN,0.00213340139540633,NaN,0.0032001020931095,NaN,1.4432899320127e-15,0.0102878975423408,NaN,32
16,0.125,0.000825868876846214,2.01483519327841,0.000543565131190435,1.97263061386835,0.000792375532921676,2.01386169396433,3.33066907387547e-15,0.00259605129728868,1.98655738397706,128
32,0.0625,0.000205942536968706,2.00367089704768,0.000137608138033379,1.98188712018391,0.00019762464240155,2.00342148112985,2.32036612146658e-14,0.000650533394946251,1.99662386659699,511.999999999999
64,0.03125,5.14529766760807e-05,2.00091539821286,3.4645172807585e-05,1.98983953494851,4.93769682919016e-05,2.00085268811351,1.03583808197527e-13,0.000162728633085862,1.99915499492984,2047.99999999998
128,0.015625,1.2861205168857e-05,2.0002287050262,8.69351565415669e-06,1.9946427268793,1.23424196506839e-05,2.0002130056819,6.02518035464072e-13,4.06881172239082e-05,1.99978869553775,8191.99999999994
256,0.0078125,3.21517390089454e-06,2.00005716119562,2.17752282025897e-06,1.9972518820934,3.08549105646136e-06,2.00005323520809,1.69531055860261e-12,1.0172399925068e-05,1.99994743619311,32768.0000000009
