x,uCoarse,uFineAtCoarse,uRichardson,uExact,coarseAbsError,richardsonAbsError
-1,0,0,0,0,0,0
-0.96875,-0.0231567543244995,-0.0231553293384533,-0.0231548543431045,-0.023154854392365,1.89993213452894e-06,4.92604394775054e-11
-0.9375,-0.0459314545611295,-0.0459285636991611,-0.045927600078505,-0.0459276001842178,3.8543769117147e-06,1.05712862075169e-10
-0.90625,-0.0683006500822499,-0.0682962558415507,-0.0682947910946509,-0.0682947912639953,5.85881825465595e-06,1.69344385736458e-10
-0.875,-0.0902402906459994,-0.0902343593412714,-0.0902323822396954,-0.0902323824797648,7.90816623456869e-06,2.40069450430092e-10
-0.84375,-0.111725787471337,-0.111718289660093,-0.111715790389678,-0.111715790707405,9.99676393190208e-06,3.17726844833999e-10
-0.8125,-0.132732081113307,-0.13272299201146,-0.132719962310844,-0.13271996271292,1.21184003870067e-05,4.02076011374319e-10
-0.78125,-0.153233715983032,-0.153223015866064,-0.153219449160408,-0.153219449653205,1.42663298274837e-05,4.9279658131951e-10
-0.75,-0.173204921281606,-0.173192595866522,-0.173188487394827,-0.173188487984315,1.64332972915071e-05,5.89487986202286e-10
-0.71875,-0.192619698040404,-0.192605738843642,-0.192601085778055,-0.192601086469725,1.86115706784507e-05,6.91670026808922e-10
-0.6875,-0.211451911883226,-0.211436316549761,-0.211431118105272,-0.211431118904056,2.0792979169959e-05,7.98784011157849e-10
-0.65625,-0.22967539104933,-0.229658163648279,-0.229652421181262,-0.229652422091459,2.29689578711834e-05,9.10196917836004e-10
-0.625,-0.247264029141776,-0.247245180424047,-0.247238897518137,-0.247238898543342,2.51305984337591e-05,1.02520492095692e-09
-0.59375,-0.264191891993829,-0.26417143960756,-0.26416462214547,-0.264164623288509,2.72687053202159e-05,1.14303944087624e-09
-0.5625,-0.2804333279785,-0.280411296638384,-0.280403952858345,-0.280403954121218,2.93738572823554e-05,1.26287219570642e-09
-0.53125,-0.295963081023796,-0.295939502630781,-0.295931643166442,-0.295931644550267,3.14364735292672e-05,1.38382472147924e-09
-0.5,-0.310756405540031,-0.310731319248313,-0.310722957151074,-0.310722958656049,3.34468839818802e-05,1.50497531103966e-09
-0.46875,-0.324789182416548,-0.324762634645327,-0.324753785388254,-0.324753787013623,3.53954029248538e-05,1.6253696166757e-09
-0.4375,-0.338038035204491,-0.338010079592493,-0.338000761055161,-0.338000762799191,3.72724052993822e-05,1.74403019803648e-09
-0.40625,-0.350480445570607,-0.35045114287202,-0.350441375305825,-0.350441377165793,3.90684048137135e-05,1.85996812396283e-09
-0.375,-0.362094867085271,-0.362064285006372,-0.362054090980073,-0.362054092952267,4.07741330039069e-05,1.97219351960598e-09
-0.34375,-0.372860836396553,-0.37282904937301,-0.372818453698495,-0.372818455778223,4.23806183297848e-05,2.07972772336973e-09
-0.3125,-0.382759080841743,-0.382726169757252,-0.382715199395755,-0.382715201577371,4.38792643721597e-05,2.18161566589714e-09
-0.28125,-0.391771621558528,-0.391737673406188,-0.391726357355408,-0.391726359632345,4.52619261832043e-05,2.27693702781195e-09
-0.25,-0.39988187118019,-0.399846978668694,-0.399835347831529,-0.399835350196346,4.65209838436675e-05,2.36481767501573e-09
-0.21875,-0.407074725232698,-0.407038986340141,-0.407027073375956,-0.407027075820398,4.76494123005655e-05,2.44444176011882e-09
-0.1875,-0.413336646396168,-0.413300163874928,-0.413288003034515,-0.413288005549575,4.8640846592618e-05,2.51506077075803e-09
-0.15625,-0.418655740848507,-0.418618621685293,-0.418606248630888,-0.418606251206894,4.94896416138868e-05,2.5760055755164e-09
-0.125,-0.423021825974542,-0.422984180810297,-0.422971632422215,-0.422971635048908,5.01909256341304e-05,2.62669341832833e-09
-0.09375,-0.426426488798814,-0.426388431313689,-0.426375745485314,-0.42637574815195,5.07406468643889e-05,2.66663624515218e-09
-0.0625,-0.428863134583631,-0.428824780852711,-0.428811996275738,-0.428811998971185,5.11356124456297e-05,2.69544764286422e-09
-0.03125,-0.430327025124824,-0.430288492950687,-0.430275648892641,-0.430275651605489,5.13735193356513e-05,2.71284766872881e-09
0,-0.430815306374824,-0.430776714603317,-0.430763850679481,-0.430763853398148,5.14529766760807e-05,2.71866684720123e-09
0.03125,-0.430327025124824,-0.430288492950686,-0.43027564889264,-0.430275651605489,5.13735193358178e-05,2.71284827935148e-09
0.0625,-0.428863134583631,-0.42882478085271,-0.428811996275736,-0.428811998971185,5.11356124459628e-05,2.6954486975761e-09
0.09375,-0.426426488798815,-0.426388431313688,-0.426375745485312,-0.42637574815195,5.0740646864833e-05,2.66663752190865e-09
0.125,-0.423021825974543,-0.422984180810296,-0.422971632422213,-0.422971635048908,5.01909256346855e-05,2.62669480610711e-09
0.15625,-0.418655740848508,-0.418618621685292,-0.418606248630886,-0.418606251206894,4.94896416144974e-05,2.57600712982864e-09
0.1875,-0.413336646396169,-0.413300163874927,-0.413288003034513,-0.413288005549575,4.86408465932842e-05,2.51506210302566e-09
0.21875,-0.407074725232699,-0.407038986340141,-0.407027073375955,-0.407027075820398,4.76494123012317e-05,2.444442925853e-09
0.25,-0.399881871180191,-0.399846978668693,-0.399835347831527,-0.399835350196346,4.65209838443892e-05,2.36481906279451e-09
0.28125,-0.391771621558529,-0.391737673406187,-0.391726357355407,-0.391726359632345,4.5261926184037e-05,2.27693824905728e-09
0.3125,-0.382759080841744,-0.382726169757252,-0.382715199395754,-0.382715201577371,4.38792643731589e-05,2.18161677612017e-09
0.34375,-0.372860836396554,-0.372829049373009,-0.372818453698495,-0.372818455778223,4.23806183308395e-05,2.07972844501469e-09
0.375,-0.362094867085272,-0.362064285006372,-0.362054090980073,-0.362054092952267,4.07741330050171e-05,1.97219401920634e-09
0.40625,-0.350480445570608,-0.35045114287202,-0.350441375305824,-0.350441377165793,3.90684048148238e-05,1.85996856805204e-09
0.4375,-0.338038035204492,-0.338010079592494,-0.338000761055161,-0.338000762799191,3.7272405300437e-05,1.74403025354763e-09
0.46875,-0.324789182416549,-0.324762634645328,-0.324753785388254,-0.324753787013623,3.53954029259085e-05,1.6253696166757e-09
0.5,-0.310756405540032,-0.310731319248314,-0.310722957151075,-0.310722958656049,3.34468839828794e-05,1.50497497797275e-09
0.53125,-0.295963081023797,-0.295939502630782,-0.295931643166443,-0.295931644550267,3.14364735302108e-05,1.38382405534543e-09
0.5625,-0.280433327978501,-0.280411296638385,-0.280403952858346,-0.280403954121218,2.93738572832436e-05,1.2628714185503e-09
0.59375,-0.26419189199383,-0.26417143960756,-0.264164622145471,-0.264164623288509,2.7268705320993e-05,1.14303849718667e-09
0.625,-0.247264029141777,-0.247245180424048,-0.247238897518138,-0.247238898543342,2.51305984345085e-05,1.0252039217562e-09
0.65625,-0.229675391049331,-0.22965816364828,-0.229652421181263,-0.229652422091459,2.29689578719328e-05,9.10195779857403e-10
0.6875,-0.211451911883227,-0.211436316549762,-0.211431118105273,-0.211431118904056,2.07929791706807e-05,7.98782956445976e-10
0.71875,-0.192619698040404,-0.192605738843643,-0.192601085778056,-0.192601086469725,1.86115706791168e-05,6.91669138630502e-10
0.75,-0.173204921281607,-0.173192595866522,-0.173188487394827,-0.173188487984315,1.64332972921177e-05,5.8948726455732e-10
0.78125,-0.153233715983033,-0.153223015866065,-0.153219449160409,-0.153219449653205,1.42663298280665e-05,4.92796053963573e-10
0.8125,-0.132732081113308,-0.13272299201146,-0.132719962310845,-0.13271996271292,1.21184003875341e-05,4.02075678307412e-10
0.84375,-0.111725787471337,-0.111718289660093,-0.111715790389678,-0.111715790707405,9.99676393233229e-06,3.17726608911606e-10
0.875,-0.0902402906459998,-0.0902343593412716,-0.0902323822396956,-0.0902323824797648,7.90816623491564e-06,2.40069242263274e-10
0.90625,-0.0683006500822502,-0.0682962558415508,-0.068294791094651,-0.0682947912639953,5.85881825493351e-06,1.6934424695858e-10
0.9375,-0.0459314545611297,-0.0459285636991612,-0.0459276000785051,-0.0459276001842178,3.85437691190205e-06,1.05712751052867e-10
0.96875,-0.0231567543244996,-0.0231553293384534,-0.0231548543431046,-0.023154854392365,1.89993213462261e-06,4.92603735580133e-11
1,0,0,0,0,0,0
