N,h,maxError,rmsError,pairwiseOrder,fittedOrder,timeSeconds
8,0.25,0.00333762030898693,0.00213340139540633,NaN,2.0025019014154,6.05779470588235e-05
16,0.125,0.000825868876846214,0.000543565131190435,2.01483519327841,2.0025019014154,4.85098789473684e-05
32,0.0625,0.000205942536968706,0.000137608138033379,2.00367089704768,2.0025019014154,5.64544176470588e-05
64,0.03125,5.14529766760807e-05,3.4645172807585e-05,2.00091539821286,2.0025019014154,6.88769153846154e-05
128,0.015625,1.2861205168857e-05,8.69351565415669e-06,2.0002287050262,2.0025019014154,9.94256e-05
256,0.0078125,3.21517390089454e-06,2.17752282025897e-06,2.00005716119562,2.0025019014154,0.000144644585714286
512,0.00390625,8.03785536074297e-07,5.44906023829412e-07,2.000014249715,2.0025019014154,0.000451195633333333
