x,uNum,uExact
-1,0,0
-0.9375,-0.0459430227657258,-0.0459276001842178
-0.875,-0.0902640266694131,-0.0902323824797648
-0.8125,-0.132768455619452,-0.13271996271292
-0.75,-0.173254249480508,-0.173188487984315
-0.6875,-0.211514329182459,-0.211431118904056
-0.625,-0.247339470177536,-0.247238898543342
-0.5625,-0.280521510211044,-0.280403954121218
-0.5,-0.310856818487054,-0.310722958656049
-0.4375,-0.338149936204191,-0.338000762799191
-0.375,-0.362217284234023,-0.362054092952267
-0.3125,-0.382890823450329,-0.382715201577371
-0.25,-0.400021547753012,-0.399835350196346
-0.1875,-0.413482689779079,-0.413288005549575
-0.125,-0.423172524960624,-0.422971635048908
-0.0625,-0.429016670935117,-0.428811998971185
0,-0.430969795935117,-0.430763853398148
0.0625,-0.429016670935117,-0.428811998971185
0.125,-0.423172524960624,-0.422971635048908
0.1875,-0.413482689779079,-0.413288005549575
0.25,-0.400021547753011,-0.399835350196346
0.3125,-0.382890823450328,-0.382715201577371
0.375,-0.362217284234023,-0.362054092952267
0.4375,-0.338149936204191,-0.338000762799191
0.5,-0.310856818487053,-0.310722958656049
0.5625,-0.280521510211043,-0.280403954121218
0.625,-0.247339470177535,-0.247238898543342
0.6875,-0.211514329182458,-0.211431118904056
0.75,-0.173254249480508,-0.173188487984315
0.8125,-0.132768455619452,-0.13271996271292
0.875,-0.090264026669413,-0.0902323824797648
0.9375,-0.0459430227657257,-0.0459276001842178
1,0,0
