x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.75,-0.173186052866871,-0.174249791913488,-0.173188487984315,2.43511744338343e-06,-0.00106130392917309,0.00106373904661647
-0.5,-0.310716692004019,-0.312888157281293,-0.310722958656049,6.26665203007359e-06,-0.00216519862524328,0.00217146527727335
-0.25,-0.399825462693335,-0.402851473707135,-0.399835350196346,9.88750301167407e-06,-0.00301612351078873,0.0030260110138004
0,-0.430752471797614,-0.434101473707135,-0.430763853398148,1.13816005341549e-05,-0.00333762030898693,0.00334900190952109
0.25,-0.399825462693335,-0.402851473707135,-0.399835350196346,9.88750301167407e-06,-0.00301612351078878,0.00302601101380046
0.5,-0.310716692004019,-0.312888157281293,-0.310722958656049,6.26665203029564e-06,-0.00216519862524339,0.00217146527727369
0.75,-0.173186052866871,-0.174249791913488,-0.173188487984315,2.43511744346669e-06,-0.00106130392917314,0.00106373904661661
1,0,0,0,0,0,0
