x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.9375,-0.0459275984929313,-0.0459430227657258,-0.0459276001842178,1.69128654137207e-09,-1.54225815079748e-05,1.54242727945161e-05
-0.875,-0.0902323786381958,-0.0902640266694131,-0.0902323824797648,3.84156903510124e-09,-3.16441896483083e-05,3.16480312173434e-05
-0.8125,-0.132719956277927,-0.132768455619452,-0.13271996271292,6.4349930106733e-09,-4.84929065315554e-05,4.8499341524566e-05
-0.75,-0.173188478548641,-0.173254249480508,-0.173188487984315,9.43567374234178e-09,-6.57614961932507e-05,6.5770931866993e-05
-0.6875,-0.211431106116818,-0.211514329182459,-0.211431118904056,1.27872384070304e-08,-8.32102784024125e-05,8.32230656408195e-05
-0.625,-0.247238882129859,-0.247339470177536,-0.247238898543342,1.64134832392193e-08,-0.000100571634193691,0.000100588047676931
-0.5625,-0.280403933900989,-0.280521510211044,-0.280403954121218,2.022022876913e-08,-0.000117556089826221,0.00011757631005499
-0.5,-0.310722934557695,-0.310856818487054,-0.310722958656049,2.40983549781859e-08,-0.000133859831004335,0.000133883929359313
-0.4375,-0.338000734871262,-0.338149936204191,-0.338000762799191,2.7927929691085e-08,-0.000149173404999925,0.000149201332929616
-0.375,-0.362054061369024,-0.362217284234023,-0.362054092952267,3.15832421882156e-08,-0.000163191281756736,0.000163222864998924
-0.3125,-0.382715166638886,-0.382890823450329,-0.382715201577371,3.49384845499401e-08,-0.000175621872957887,0.000175656811442437
-0.25,-0.399835312322588,-0.400021547753012,-0.399835350196346,3.78737583517363e-08,-0.000186197556665491,0.000186235430423842
-0.1875,-0.413287965268536,-0.413482689779079,-0.413288005549575,4.02810391708641e-08,-0.000194684229504027,0.000194724510543198
-0.125,-0.422971592979187,-0.423172524960624,-0.422971635048908,4.20697211511722e-08,-0.000200889911716184,0.000200931981437336
-0.0625,-0.428811955799807,-0.429016670935117,-0.428811998971185,4.31713778614728e-08,-0.000204671963931813,0.000204715135309674
0,-0.430763809854732,-0.430969795935117,-0.430763853398148,4.35434163725823e-08,-0.000205942536968706,0.000205986080385079
0.0625,-0.428811955799807,-0.429016670935117,-0.428811998971185,4.31713778059617e-08,-0.000204671963931646,0.000204715135309452
0.125,-0.422971592979187,-0.423172524960624,-0.422971635048908,4.20697212621945e-08,-0.000200889911715907,0.000200931981437169
0.1875,-0.413287965268536,-0.413482689779079,-0.413288005549575,4.02810391708641e-08,-0.000194684229503583,0.000194724510542754
0.25,-0.399835312322588,-0.400021547753011,-0.399835350196346,3.78737584627586e-08,-0.00018619755666488,0.000186235430423343
0.3125,-0.382715166638886,-0.382890823450328,-0.382715201577371,3.49384845499401e-08,-0.000175621872957221,0.000175656811441771
0.375,-0.362054061369025,-0.362217284234023,-0.362054092952267,3.15832421327045e-08,-0.000163191281756125,0.000163222864998258
0.4375,-0.338000734871262,-0.338149936204191,-0.338000762799191,2.79279296355739e-08,-0.00014917340499937,0.000149201332929005
0.5,-0.310722934557695,-0.310856818487053,-0.310722958656049,2.40983548671636e-08,-0.000133859831003891,0.000133883929358758
0.5625,-0.280403933900989,-0.280521510211043,-0.280403954121218,2.02202288246411e-08,-0.000117556089825777,0.000117576310054601
0.625,-0.247238882129859,-0.247339470177535,-0.247238898543342,1.64134832392193e-08,-0.000100571634193247,0.000100588047676486
0.6875,-0.211431106116818,-0.211514329182458,-0.211431118904056,1.27872383792749e-08,-8.32102784019961e-05,8.32230656403754e-05
0.75,-0.173188478548641,-0.173254249480508,-0.173188487984315,9.43567357580832e-09,-6.57614961929176e-05,6.57709318664934e-05
0.8125,-0.132719956277928,-0.132768455619452,-0.13271996271292,6.43499276087312e-09,-4.84929065313333e-05,4.84993415240942e-05
0.875,-0.0902323786381958,-0.090264026669413,-0.0902323824797648,3.84156906285682e-09,-3.16441896481695e-05,3.16480312172324e-05
0.9375,-0.0459275984929313,-0.0459430227657257,-0.0459276001842178,1.69128655524986e-09,-1.54225815079054e-05,1.54242727944606e-05
1,0,0,0,0,0,0
