N,h,maxShootingExact,l2ShootingExact,rmsShootingExact,maxFiniteDifferenceExact,l2FiniteDifferenceExact,rmsFiniteDifferenceExact,maxShootingFiniteDifference,l2ShootingFiniteDifference,rmsShootingFiniteDifference,shootingBoundaryResidualInf,shootingFunctionEvaluations,shootingPairwiseOrder,finiteDifferencePairwiseOrder,methodDifferencePairwiseOrder,shootingFittedOrder,finiteDifferenceFittedOrder,methodDifferenceFittedOrder
8,0.25,1.13816005341549e-05,2.03830250844222e-05,6.79434169480739e-06,0.00333762030898693,0.006400204186219,0.00213340139540633,0.00334900190952109,0.00642050648474568,0.00214016882824856,0,32,NaN,NaN,NaN,4.00417590553592,2.0025019014154,2.00312511718094
16,0.125,6.99576321983031e-07,1.77444389537943e-06,4.30365859257755e-07,0.000825868876846214,0.00224117645030089,0.000543565131190435,0.000826568453168197,0.00224294397823088,0.000543993819681706,0,64,4.02407817993578,2.01483519327841,2.01852499069361,4.00417590553592,2.0025019014154,2.00312511718094
32,0.0625,4.35434163725823e-08,1.56252098425382e-07,2.71999990320494e-08,0.000205942536968706,0.0007904985696062,0.000137608138033379,0.000205986080385079,0.000790654216081402,0.00013763523260694,0,128,4.00595495082725,2.00367089704768,2.00458745298318,4.00417590553592,2.0025019014154,2.00312511718094
64,0.03125,2.71866412715482e-09,1.37979381121752e-08,1.71142359162197e-09,5.14529766760807e-05,0.000279318312909094,3.4645172807585e-05,5.14556953402079e-05,0.000279332057446504,3.46468776076346e-05,0,256,4.00148477224524,2.00091539821286,2.00114417501271,4.00417590553592,2.0025019014154,2.00312511718094
128,0.015625,1.69872671484939e-10,1.21929017303798e-09,1.07352513792521e-10,1.2861205168857e-05,9.87393572054715e-05,8.69351565415669e-06,1.28613750415285e-05,9.87405717784951e-05,8.69362259134863e-06,0,512,4.00037224638605,2.0002287050262,2.00028587670108,4.00417590553592,2.0025019014154,2.00312511718094
256,0.0078125,1.06161190949194e-11,1.07762669659339e-10,6.72205064485645e-12,3.21517390089454e-06,3.49083463890284e-05,2.17752282025897e-06,3.21518451701364e-06,3.49084537348237e-05,2.17752951630571e-06,0,1024,4.00012540988481,2.00005716119562,2.0000714527977,4.00417590553592,2.0025019014154,2.00312511718094
512,0.00390625,6.63025190306143e-13,9.517053913832e-12,4.20188195093433e-13,8.03785536074297e-07,1.23418507880813e-05,5.44906023829412e-07,8.03786199099488e-07,1.23418602682223e-05,5.44906442387862e-07,0,2048,4.00104896661681,2.000014249715,2.00001782326611,4.00417590553592,2.0025019014154,2.00312511718094
