x,uShooting,uFiniteDifference,uExact,shootingMinusExact,finiteDifferenceMinusExact,shootingMinusFiniteDifference
-1,0,0,0,0,0,0
-0.9921875,-0.00582327816125705,-0.00582330751151985,-0.00582327816130257,4.55200113713694e-14,-2.9350217282606e-08,2.93502628026174e-08
-0.984375,-0.0116237503181483,-0.0116238092434419,-0.011623750318241,9.27712767717637e-14,-5.89252008662694e-08,5.89252936375462e-08
-0.9765625,-0.0174010615769158,-0.0174011502982299,-0.0174010615770575,1.41608946790939e-13,-8.87211724157067e-08,8.87213140246534e-08
-0.96875,-0.0231548543921726,-0.023154973126578,-0.023154854392365,1.92363486251068e-13,-1.18734213003235e-07,1.18734405366722e-07
-0.9609375,-0.0288847686139255,-0.0288849175744342,-0.0288847686141704,2.44911729785358e-13,-1.48960263804399e-07,1.48960508716128e-07
-0.953125,-0.0345904415362833,-0.0345906209317079,-0.0345904415365825,2.99212044030384e-13,-1.79395125421422e-07,1.79395424633466e-07
-0.9453125,-0.04027150794785,-0.040271717982663,-0.0402715079482052,3.55257490092242e-13,-2.10034457819031e-07,2.10034813076521e-07
-0.9375,-0.0459276001838048,-0.0459278410579983,-0.0459276001842178,4.1298908737275e-13,-2.40873780525674e-07,2.40874193514762e-07
-0.9296875,-0.0515583481796694,-0.0515586200886143,-0.0515583481801418,4.7242765255362e-13,-2.71908472480875e-07,2.71908944908528e-07
-0.921875,-0.0571633795267591,-0.0571636826610651,-0.0571633795272928,5.33705024619024e-13,-3.03133772278086e-07,3.0313430598311e-07
-0.9140625,-0.0627423195293181,-0.0627426540746936,-0.0627423195299148,5.96758753523829e-13,-3.3454477874062e-07,3.34545375499373e-07
-0.90625,-0.0682947912633338,-0.0682951574004463,-0.0682947912639953,6.61540267010707e-13,-3.66136451032673e-07,3.6613711257294e-07
-0.8984375,-0.0738204156370262,-0.0738208135413634,-0.0738204156377542,7.28014870610139e-13,-3.97903609186678e-07,3.97904337201549e-07
-0.890625,-0.0793188114530072,-0.079319241294738,-0.0793188114538034,7.96210319897739e-13,-4.29840934595971e-07,4.29841730806291e-07
-0.8828125,-0.0847895954721021,-0.084790057415939,-0.084789595472968,8.65960081419814e-13,-4.61942970902962e-07,4.61943836863044e-07
-0.875,-0.0902323824788273,-0.0902328766838889,-0.0902323824797648,9.37569466508137e-13,-4.94204124054654e-07,4.9420506162412e-07
-0.8671875,-0.0956467853485131,-0.0956473119681881,-0.0956467853495242,1.01113561967736e-12,-5.26618663870826e-07,5.26619675006446e-07
-0.859375,-0.101032415116064,-0.101032974297875,-0.10103241511715,1.0859785293249e-12,-5.59180725487329e-07,5.59181811465859e-07
-0.8515625,-0.106388881046341,-0.106389472931812,-0.106388881047504,1.16258391802404e-12,-5.91884308467905e-07,5.91885471051823e-07
-0.84375,-0.111715790706164,-0.111716415430684,-0.111715790707405,1.24102117471381e-12,-6.24723279565864e-07,6.24724520587039e-07
-0.8359375,-0.117012750037901,-0.117013407730596,-0.117012750039222,1.32090172133559e-12,-6.57691373875946e-07,6.57692694777667e-07
-0.828125,-0.122279363434657,-0.122280054218254,-0.122279363436059,1.40250311364554e-12,-6.90782195111872e-07,6.90783597614986e-07
-0.8203125,-0.127515233817016,-0.12751595780772,-0.127515233818502,1.48575596270462e-12,-7.2398921796557e-07,7.23990703721533e-07
-0.8125,-0.13271996271135,-0.13272072001871,-0.13271996271292,1.57054924621036e-12,-7.57305789411689e-07,7.57307359960935e-07
-0.8046875,-0.137893150329647,-0.137893941056434,-0.137893150331304,1.65667479734566e-12,-7.90725130261904e-07,7.90726786936702e-07
-0.796875,-0.143034395650867,-0.143035219892948,-0.143034395652611,1.74449343859351e-12,-8.24240336344539e-07,8.24242080837978e-07
-0.7890625,-0.148143296503779,-0.148144154349994,-0.148143296505613,1.83383863650022e-12,-8.57844381335626e-07,8.57846215174263e-07
-0.78125,-0.15321944965128,-0.153220341183323,-0.153219449653205,1.9247381466414e-12,-8.91530117841377e-07,8.91532042579524e-07
-0.7734375,-0.158262450876157,-0.158263376168454,-0.158262450878174,2.01699767998775e-12,-9.25290280062718e-07,9.25292297060398e-07
-0.765625,-0.163271895068277,-0.163272854187872,-0.163271895070387,2.11072825884173e-12,-9.5911748518307e-07,9.59119595911329e-07
-0.7578125,-0.168247376313173,-0.168248369319615,-0.168247376315379,2.20584661647649e-12,-9.93004236088391e-07,9.93006441935007e-07
