x,uNum,uExact
-1,0,0
-0.9921875,-0.00582330751151985,-0.00582327816130257
-0.984375,-0.0116238092434419,-0.011623750318241
-0.9765625,-0.0174011502982299,-0.0174010615770575
-0.96875,-0.023154973126578,-0.023154854392365
-0.9609375,-0.0288849175744342,-0.0288847686141704
-0.953125,-0.0345906209317079,-0.0345904415365825
-0.9453125,-0.040271717982663,-0.0402715079482052
-0.9375,-0.0459278410579983,-0.0459276001842178
-0.9296875,-0.0515586200886143,-0.0515583481801418
-0.921875,-0.0571636826610651,-0.0571633795272928
-0.9140625,-0.0627426540746936,-0.0627423195299148
-0.90625,-0.0682951574004463,-0.0682947912639953
-0.8984375,-0.0738208135413634,-0.0738204156377542
-0.890625,-0.079319241294738,-0.0793188114538034
-0.8828125,-0.084790057415939,-0.084789595472968
-0.875,-0.0902328766838889,-0.0902323824797648
-0.8671875,-0.0956473119681881,-0.0956467853495242
-0.859375,-0.101032974297875,-0.10103241511715
-0.8515625,-0.106389472931812,-0.106388881047504
-0.84375,-0.111716415430684,-0.111715790707405
-0.8359375,-0.117013407730596,-0.117012750039222
-0.828125,-0.122280054218254,-0.122279363436059
-0.8203125,-0.12751595780772,-0.127515233818502
-0.8125,-0.13272072001871,-0.13271996271292
-0.8046875,-0.137893941056434,-0.137893150331304
-0.796875,-0.143035219892948,-0.143034395652611
-0.7890625,-0.148144154349994,-0.148143296505613
-0.78125,-0.153220341183323,-0.153219449653205
-0.7734375,-0.158263376168454,-0.158262450878174
-0.765625,-0.163272854187872,-0.163271895070387
-0.7578125,-0.168248369319615,-0.168247376315379
-0.75,-0.173189514927238,-0.173188487984315
-0.7421875,-0.178095883751125,-0.178094822825297
-0.734375,-0.182967068001116,-0.182965973055991
-0.7265625,-0.187802659450419,-0.18780153045754
-0.71875,-0.192602249530788,-0.192601086469725
-0.7109375,-0.197365429428908,-0.197364232287368
-0.703125,-0.202091790183988,-0.202090558957905
-0.6953125,-0.206780922786501,-0.20677965748013
-0.6875,-0.211432418278046,-0.211431118904056
-0.6796875,-0.216045867852297,-0.216044534431856
-0.671875,-0.220620862956993,-0.220619495519853
-0.6640625,-0.225156995396946,-0.225155593981523
-0.65625,-0.229653857438008,-0.229652422091459
-0.6484375,-0.234111041911965,-0.234109572690265
-0.640625,-0.238528142322328,-0.238526639290335
-0.6328125,-0.242904752950954,-0.242903216182479
-0.625,-0.247240468965473,-0.247238898543342
-0.6171875,-0.251534886527466,-0.251533282543582
-0.609375,-0.255787602901361,-0.255785965456753
-0.6015625,-0.259998216563979,-0.259996545768858
-0.59375,-0.264166327314704,-0.264164623288509
-0.5859375,-0.268291536386217,-0.268289799257659
-0.578125,-0.272373446555752,-0.272371676462853
-0.5703125,-0.276411662256815,-0.27640985934694
-0.5625,-0.280405789691327,-0.280403954121218
-0.5546875,-0.284355436942127,-0.284353568877929
-0.546875,-0.2882602140858,-0.288258313703081
-0.5390625,-0.292119733305761,-0.29211780078953
-0.53125,-0.295933609005545,-0.295931644550267
-0.5234375,-0.299701457922263,-0.299699461731864
-0.515625,-0.30342289924015,-0.303420871528025
-0.5078125,-0.307097554704167,-0.307095495693175
-0.5,-0.310725048733588,-0.310722958656049
-0.4921875,-0.314305008535526,-0.314302887633213
-0.484375,-0.317837064218341,-0.317834912742459
-0.4765625,-0.32132084890486,-0.321318667116033
-0.46875,-0.32475599884538,-0.324753787013623
-0.4609375,-0.328142153530364,-0.328139911935056
-0.453125,-0.331478955802798,-0.331476684732647
-0.4453125,-0.334766051970136,-0.33476375172314
-0.4375,-0.338003091915787,-0.338000762799191
-0.4296875,-0.341189729210074,-0.341187371540323
-0.421875,-0.344325621220616,-0.344323235323298
-0.4140625,-0.347410429222072,-0.347408015431865
-0.40625,-0.350443818505188,-0.350441377165793
-0.3984375,-0.353425458485087,-0.353422989949164
-0.390625,-0.356355022808756,-0.356352527437846
-0.3828125,-0.359232189461648,-0.359229667626103
-0.375,-0.362056640873372,-0.362054092952267
-0.3671875,-0.364828064022385,-0.364825490403432
-0.359375,-0.367546150539647,-0.367543551619107
-0.3515625,-0.37021059681118,-0.370207972993762
-0.34375,-0.37282110407946,-0.372818455778223
-0.3359375,-0.375377378543609,-0.375374706179856
-0.328125,-0.377879131458312,-0.377876435461477
-0.3203125,-0.380326079231407,-0.380323360038945
-0.3125,-0.382717943520108,-0.382715201577371
-0.3046875,-0.385054451325783,-0.385051687085899
-0.296875,-0.387335335087256,-0.387332549010999
-0.2890625,-0.389560332772559,-0.389557525328218
-0.28125,-0.391729187969106,-0.391726359632345
-0.2734375,-0.393841649972207,-0.393838801225928
-0.265625,-0.395897473871904,-0.3958946052061
-0.2578125,-0.397896420638054,-0.397893532549656
-0.25,-0.399838257203616,-0.399835350196346
-0.2421875,-0.401722756546106,-0.401719831130315
-0.234375,-0.403549697767154,-0.403546754459662
-0.2265625,-0.40531886617013,-0.40531590549406
-0.21875,-0.407030053335786,-0.407027075820398
-0.2109375,-0.408683057195877,-0.408680063376391
-0.203125,-0.41027768210471,-0.410274672522134
-0.1953125,-0.411813738908579,-0.41181071410953
-0.1875,-0.413291045013058,-0.413288005549575
-0.1796875,-0.414709424448091,-0.414706370877454
-0.171875,-0.416068707930859,-0.416065640815398
-0.1640625,-0.417368732926377,-0.417365652833277
-0.15625,-0.418609343705782,-0.418606251206894
-0.1484375,-0.419790391402294,-0.419787287073931
-0.140625,-0.420911734064789,-0.420908618487533
-0.1328125,-0.421973236708983,-0.421970110467476
-0.125,-0.42297477136617,-0.422971635048908
-0.1171875,-0.423916217129496,-0.423913071328628
-0.109375,-0.424797460197749,-0.42479430550886
-0.1015625,-0.42561839391662,-0.425615230938524
-0.09375,-0.426378918817428,-0.42637574815195
-0.0859375,-0.42707894265327,-0.427075764905033
-0.078125,-0.427718380432589,-0.427715196208795
-0.0703125,-0.428297154450129,-0.428293964360342
-0.0625,-0.428815194315261,-0.428811998971185
-0.0546875,-0.429272436977667,-0.429269236992924
-0.046875,-0.429668826750358,-0.429665622740264
-0.0390625,-0.430004315330018,-0.430001107911364
-0.03125,-0.430278861814668,-0.430275651605489
-0.0234375,-0.430492432718619,-0.43048922033797
-0.015625,-0.430645001984725,-0.430641788052459
-0.0078125,-0.430736550993924,-0.43073333613046
0,-0.430767068572049,-0.430763853398148
0.0078125,-0.430736550993924,-0.43073333613046
0.015625,-0.430645001984726,-0.430641788052459
0.0234375,-0.43049243271862,-0.43048922033797
0.03125,-0.43027886181467,-0.430275651605489
0.0390625,-0.430004315330021,-0.430001107911364
0.046875,-0.42966882675036,-0.429665622740264
0.0546875,-0.42927243697767,-0.429269236992924
0.0625,-0.428815194315265,-0.428811998971185
0.0703125,-0.428297154450133,-0.428293964360342
0.078125,-0.427718380432593,-0.427715196208795
0.0859375,-0.427078942653275,-0.427075764905033
0.09375,-0.426378918817433,-0.42637574815195
0.1015625,-0.425618393916626,-0.425615230938524
0.109375,-0.424797460197755,-0.42479430550886
0.1171875,-0.423916217129502,-0.423913071328628
0.125,-0.422974771366176,-0.422971635048908
0.1328125,-0.42197323670899,-0.421970110467476
0.140625,-0.420911734064796,-0.420908618487533
0.1484375,-0.419790391402301,-0.419787287073931
0.15625,-0.418609343705789,-0.418606251206894
0.1640625,-0.417368732926384,-0.417365652833277
0.171875,-0.416068707930867,-0.416065640815398
0.1796875,-0.414709424448098,-0.414706370877454
0.1875,-0.413291045013065,-0.413288005549575
0.1953125,-0.411813738908587,-0.41181071410953
0.203125,-0.410277682104718,-0.410274672522134
0.2109375,-0.408683057195885,-0.408680063376391
0.21875,-0.407030053335794,-0.407027075820398
0.2265625,-0.405318866170138,-0.40531590549406
0.234375,-0.403549697767163,-0.403546754459662
0.2421875,-0.401722756546115,-0.401719831130315
0.25,-0.399838257203625,-0.399835350196346
0.2578125,-0.397896420638063,-0.397893532549656
0.265625,-0.395897473871913,-0.3958946052061
0.2734375,-0.393841649972216,-0.393838801225928
0.28125,-0.391729187969115,-0.391726359632345
0.2890625,-0.389560332772569,-0.389557525328218
0.296875,-0.387335335087265,-0.387332549010999
0.3046875,-0.385054451325792,-0.385051687085899
0.3125,-0.382717943520117,-0.382715201577371
0.3203125,-0.380326079231416,-0.380323360038945
0.328125,-0.377879131458321,-0.377876435461477
0.3359375,-0.375377378543619,-0.375374706179856
0.34375,-0.372821104079469,-0.372818455778223
0.3515625,-0.370210596811189,-0.370207972993762
0.359375,-0.367546150539657,-0.367543551619107
0.3671875,-0.364828064022394,-0.364825490403432
0.375,-0.362056640873382,-0.362054092952267
0.3828125,-0.359232189461657,-0.359229667626103
0.390625,-0.356355022808765,-0.356352527437846
0.3984375,-0.353425458485096,-0.353422989949164
0.40625,-0.350443818505197,-0.350441377165793
0.4140625,-0.347410429222081,-0.347408015431865
0.421875,-0.344325621220625,-0.344323235323298
0.4296875,-0.341189729210083,-0.341187371540323
0.4375,-0.338003091915796,-0.338000762799191
0.4453125,-0.334766051970145,-0.33476375172314
0.453125,-0.331478955802807,-0.331476684732647
0.4609375,-0.328142153530373,-0.328139911935056
0.46875,-0.324755998845389,-0.324753787013623
0.4765625,-0.321320848904869,-0.321318667116033
0.484375,-0.31783706421835,-0.317834912742459
0.4921875,-0.314305008535535,-0.314302887633213
0.5,-0.310725048733597,-0.310722958656049
0.5078125,-0.307097554704176,-0.307095495693175
0.515625,-0.303422899240158,-0.303420871528025
0.5234375,-0.299701457922271,-0.299699461731864
0.53125,-0.295933609005553,-0.295931644550267
0.5390625,-0.292119733305769,-0.29211780078953
0.546875,-0.288260214085809,-0.288258313703081
0.5546875,-0.284355436942135,-0.284353568877929
0.5625,-0.280405789691335,-0.280403954121218
0.5703125,-0.276411662256824,-0.27640985934694
